High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4468,4293,2710,4076,2398,2794,170.3,5.8,186.5,2.9,104.3,270,3533.8,26.44,20.11,2.65,71.5,32.5,20
4481,4468,2844,4056,2475,2872.8,169.6,5.7,166.7,2.6,99.2,274.5,3591,26.86,21.07,2.92,71.75,32.9,21.5
4746,4481,2681,4336,2399,3136.1,161.1,5.8,155.8,3.5,19.8,268,3750.1,28.39,18.67,3.17,74.63,32.4,23
4857,4746,3040,4439,2669,3378.3,156.7,5.6,152.8,6.3,-72.6,276.7,3903.7,26.78,15.24,2.92,82.25,34.6,22.4
4612,4857,3088,4217,2675,3161.7,154.5,5.7,97.4,4.8,58.1,267,3749.2,25.57,5.97,2.93,90,34.6,21.4
4466,4612,2953,4067,2594,3144.3,167,5.3,60.9,10.3,45.5,221.1,3654.3,26.43,18.95,2.37,74.38,34.5,21.4
4551,4466,2906,4128,2559,3149.6,177.8,5,148.9,10.3,-74.3,250.3,3667.5,26.1,19.45,2.58,69.5,32.3,21.2
4043,4551,2425,3738,2245,2766.2,160.3,5.3,89.2,7.2,15.9,239.3,3283.2,22.69,4.68,2.15,91.5,32,20.1
3905,4043,2673,3657,2415,2822.8,177.9,5,27.2,8.2,-27.8,269.8,3283.1,23.24,9.49,1.79,86.13,29.7,19.8
3846,3905,2622,3679,2366,2791.7,178.5,5,67.8,2.2,-44.1,240.1,3241.3,24.3,9.72,1.9,82.63,26.6,21
4030,3846,2761,3758,2502,2825.3,173.5,5,75.9,1.6,50.6,258.7,3390.6,23.13,5.81,1.64,84.5,27.4,20.4
3851,4030,2749,3595,2491,2806,170.2,5,42.6,1.5,2.4,241.4,3269,24.91,14.89,1.87,79.38,30.2,20
3664,3851,2519,3442,2333,2661.3,172.8,5,20.9,17.9,11.5,219.5,3109,20.31,8.78,2.55,81,28.3,17
3572,3664,2532,3393,2352,2519.8,157.8,5,78.6,16.8,50,224.8,3052.9,19.6,3.79,2.46,93.75,23.7,17.4
3693,3572,2519,3478,2352,2681.8,187.1,5,32.8,4.5,19.2,206.6,3137,21.37,4.13,1.8,92.88,24.5,18.5
4100,3693,2486,3838,2276,2812.7,192.6,5.5,85.3,1,23,214.4,3334.6,25.37,14.26,1.82,83.5,29.6,20.2
4329,4100,2783,4021,2505,2888.5,192.9,5.8,107.9,2,43.5,263.4,3504,25.52,6.48,2.29,85.88,30.9,21.4
4368,4329,2891,4012,2569,2970.3,190,6,56.9,9.3,70.1,265.8,3568.3,24.1,6.73,2.52,81.38,32.2,18.3
4143,4368,2870,3683,2586,2863.1,192.2,6,46.5,11.7,44.8,261.6,3426,20.85,13.58,2.43,63.63,31,14.7
3577,4143,2669,3369,2413,2510.4,190.9,6,118,7.2,3.2,245.7,3081.3,19.95,5.56,1.79,85.63,30.7,16.5
3886,3577,2435,3532,2266,2771,181.7,6,27,6.8,10.4,199,3202,24.31,14.79,2.15,73.63,30.1,18.2
4183,3886,2643,3751,2439,2866.3,182.6,5.8,125,11.7,-7.4,185.8,3369.8,22.66,7,2.73,78,27.2,17.1
3838,4183,2700,3598,2448,2807.3,163.3,6,51.5,14.3,34.4,172.6,3249.3,25.1,17.48,3.56,61.13,32,18.2
4177,3838,2785,3657,2532,2790,160.8,5.9,143.4,20.7,56.1,211.7,3388.5,20.47,15.95,2.76,54.5,29.5,14.7
3568,4177,2642,3341,2410,2523.9,158,6,140.2,11,29.9,190.9,3059.9,20.4,7.56,2.06,82.13,32.8,15.5
3484,3568,2308,3276,2171,2480.4,130.7,6,59.5,4.3,11,200.1,2892,17.52,16.11,2.12,63,22.7,10.2
3482,3484,2450,3297,2284,2433.3,121.6,6,139.8,4.6,33.3,196.4,2935,15.86,5.79,2.31,68,22.3,13.1
3514,3482,2448,3317,2285,2584.3,118.4,6,31.3,6.6,24.8,199.5,2970.9,15.37,13.03,2.01,61.5,25.5,9.7
3417,3514,2498,3263,2335,2480.9,110.4,6,118,4.9,27.3,186.8,2934.3,15.95,17.64,2.12,61.5,20.9,8.1
3556,3417,2268,3341,2149,2587.8,109.7,4.9,12.5,9.1,55.4,186.6,2965.8,21.22,13.92,1.76,79.88,25.8,14.9
