High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3501,3390,2555,3381,2375,2550.7,103,1.3,132.7,7,16.8,173,2984.4,11.05,8.51,2.44,66.25,21.7,7
3480,3501,2304,3337,2179,2569.9,129.3,4.6,61.9,11.8,15.6,163,2956.2,10.94,6.26,2.28,75.13,19.2,6.2
3747,3480,2551,3559,2380,2787.1,135.5,6,48.3,6.3,27.6,179.7,3190.5,13.74,20.76,2.47,60,23.5,3.2
3392,3747,2634,3319,2440,2468,154.8,6,172.5,8.4,17.7,169.3,2996.6,12.89,2.36,2.5,87.88,18.5,9.3
3788,3392,2512,3498,2344,2653.3,153.8,5.8,8.3,19.8,154.9,175.9,3171.9,15.88,16.15,2.67,66.75,22.8,8.2
3340,3788,2557,3240,2389,2471.5,159.8,6,132.7,15.7,8.5,164.5,2958.7,16.08,21.67,3.23,64,21.9,7.3
3634,3340,2238,3556,2149,2497.6,173,6,168.8,18.3,19.2,116.1,2998.9,9.88,24.99,3.07,46.13,24.2,1.8
3617,3634,2702,3543,2526,2589.7,160.3,6,209.5,7.3,27.5,137,3137.3,13.87,9.21,2.66,70.5,19.3,7.4
3588,3617,2606,3401,2439,2677.5,156.3,6,75.8,14.2,33.9,137.3,3101.1,15.6,12.42,2.2,84.88,17.9,11.1
3554,3588,2574,3373,2429,2632.9,170.9,6,83.6,9,32.1,134.2,3068.7,15.92,26.39,4.31,37.13,19.9,7
3367,3554,2562,3304,2403,2381.3,178.5,6,218.8,18,42.8,116,2961.3,14.55,20.06,2.71,52.5,23.1,3
3413,3367,2280,3274,2177,2332.3,173,5,133,17.4,62.4,166.4,2889.4,15.93,24.37,3.33,55.13,28.5,9
3351,3413,2443,3235,2311,2347.5,169,5,189.1,11.3,26.3,163.6,2911.9,14.22,24.62,3.18,55.88,26.8,5.9
3349,3351,2469,3293,2329,2360.5,170.2,4.8,208.1,6.4,15.9,166.4,2932.3,15.31,7.98,3.05,74.88,25.3,8.6
3484,3349,2517,3357,2380,2555.5,161.1,5,62.1,11.7,27.4,196.7,3019.5,17.08,21.01,3.08,76.5,20.9,11.6
3434,3484,2528,3257,2389,2402.1,169.5,5,167.3,6.1,24.9,210.5,2985.4,17.64,18.89,2.47,73.38,21.7,12
3375,3434,2252,3272,2163,2303.8,165.4,5,175.2,3.7,18.1,218,2889,18.75,25.05,2.7,64.25,24.9,10.1
3467,3375,2536,3350,2407,2409.3,162.2,5,201.1,4.1,24,222.8,3028.4,17.13,10.47,2.75,74.38,24.3,12.9
3437,3467,2530,3308,2387,2509.9,160.8,4.5,99.5,4.9,29.3,196.2,3005.1,14.49,4.3,2.67,93.25,27.9,11.5
3491,3437,2510,3248,2376,2587.9,163.5,4.4,27.5,12.5,34.3,183.7,3013.8,15.27,22.51,5.03,51,22.6,8.2
3433,3491,2226,3237,2123,2374.6,161.5,6,89.3,6.5,37.4,222.8,2898.1,18.71,14.73,2.82,86.25,28.1,14.7
3545,3433,2434,3316,2294,2513.3,160.8,6,95.1,8.5,11.9,221.1,3016.7,20.17,7.98,4.24,83.25,23.1,13.9
3632,3545,2491,3333,2338,2544.2,164.5,6,55.6,16.8,45.6,218,3050.7,20.71,29.03,2.86,59.88,26.7,12.4
3625,3632,2487,3373,2311,2396.3,145.8,6,228,8.7,48.6,216.4,3049.8,20.33,27.57,2.36,65.88,27.1,12.1
3663,3625,2497,3353,2336,2423.1,154,6,214.9,4,39.8,232.5,3074.3,19.91,23.29,3.46,60,29.6,12.3
3443,3663,2276,3298,2164,2408.9,151,6,98.9,10.7,40.1,228,2943.6,17.86,5.05,2.67,89.25,26.8,12
3603,3443,2483,3301,2338,2584.5,152.3,6,22.4,8.5,44,238.4,3056,19.24,29.9,2.76,52.5,24.2,9.5
3524,3603,2475,3290,2307,2329.7,151.3,6,231.3,12.3,36.1,243,3009.6,19.09,26.96,3.43,52.5,23.4,10.3
3522,3524,2460,3281,2307,2334.2,152.3,6,216,13.9,33,242,2997.4,16.98,17.19,2.74,62.75,29.5,10.7
3418,3522,2467,3235,2326,2403.9,150.8,6,129,7.5,30.8,229.4,2957.3,18.73,26.24,2.54,65.38,29.3,10.3
3882,3418,2247,3496,2141,2509,146.7,6,204.9,1.1,2.1,235,3104.9,23.14,22.57,3.3,51.38,31.6,13.9
4018,3882,2607,3481,2437,2656.4,144.3,6,177.3,4.4,28.4,245.1,3262,21.88,8.76,3.57,68.5,33.4,17.6
3779,4018,2608,3425,2442,2674,140.4,6,74.1,8.3,20.4,251.4,3174.7,22.83,20.67,3.51,73.88,31.6,16
3847,3779,2559,3462,2402,2595.1,139.3,6,155,9.2,35.5,252.3,3192.4,20.07,9.81,3.02,82.13,26.3,15.2
3655,3847,2541,3228,2390,2529.9,142.7,6,53.8,6.6,46.5,257.5,3043,19.31,13.45,1.72,74.75,30.7,14.4
3467,3655,2256,3227,2159,2432,142.5,6,64.3,6,20.3,225.3,2896.5,20.47,24.11,2.58,77.13,30.9,15
3522,3467,2355,3287,2244,2370.1,143.1,6,175.3,4.5,31.5,236,2966.5,21.12,26.59,3.48,54.75,21.7,15.3
4128,4200,3157,4040,2876,3124.8,113.4,1,131.5,1.7,29.6,205.7,3607.6,6.79,5.12,1.9,87.63,13,3.7
4264,4128,2994,4129,2766,3295,104.2,2.4,38.4,4.6,-14.8,250.9,3680.8,7.82,18.84,3.21,57.5,13.7,0.6
4053,4264,3012,3989,2814,2962.5,103,6,166,14.7,39.9,188,3480,7.75,17.35,2.48,51.88,10.9,-1.9
4070,4053,2606,3937,2510,2999.3,103.2,1,35.2,10.8,56,231.6,3437.1,5.68,13.73,3.22,55.5,16.7,-0.4
