High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
3458,3522,2478,3230,2351,2332.1,135.7,6,204.3,12.4,30.7,229.8,2951,19.78,30.2,4.5,39.38,28,11.9
3399,3458,2398,3217,2277,2267.7,135.7,6,233.7,11.5,42.3,232.4,2929.3,18.89,28.74,3.33,50.75,29,10
3407,3399,2402,3185,2292,2303,130,6,225.4,6,36.6,218.5,2925.6,21.48,22.77,3.7,62.75,26.5,12.8
3512,3407,2189,3229,2092,2442.5,128.7,5.9,126.1,4.5,-13.5,209,2903.3,19.55,6.76,2,80.5,28.4,15.9
3502,3512,2444,3298,2316,2590.1,124.1,6,45.4,2,28,207.4,3003,22,22.03,2.74,71.88,27.9,16.5
3613,3502,2465,3347,2335,2529.3,126.1,6,167.3,4,24.8,206.7,3064.1,21.67,9.16,1.91,86.38,25.1,17.5
3642,3613,2492,3430,2362,2659.3,122,6,63.7,3,39.1,213.4,3106.5,23.88,25.93,2.75,67,29.1,17.8
3801,3642,2527,3379,2373,2586.2,127.7,6,204.6,3.6,-2.9,226.6,3151.8,23.7,26.08,2.9,62.38,27,16.5
3639,3801,2347,3287,2224,2628.7,133.9,6,36.1,13.5,-14.8,211.1,3014.6,22.18,19.78,3.16,72,30.5,17.7
3663,3639,2454,3385,2298,2524.1,121.6,6,154.3,6.5,19.1,241.7,3073.3,20.45,10.01,2.48,81.63,25.2,16.1
3570,3663,2476,3311,2320,2609.9,122.1,5.4,57.7,2.4,11.8,226.7,3035.9,21.36,5.98,2.5,85.63,30.5,17.7
3681,3570,2501,3375,2331,2674.8,113.1,5,46.8,9.9,20.9,223.3,3093.8,24.24,23.2,2.53,75,28.7,18.9
3974,3681,2513,3627,2327,2685.5,116.9,5,175.6,10.6,55.1,197.1,3245.8,25.98,28.98,2.67,56.88,25.2,17.6
4158,3974,2376,3850,2245,2862.2,123.1,6,168.2,9.8,-5.2,155.3,3319.3,22.95,10.42,1.74,80.75,29.5,19.4
3932,4158,2721,3666,2445,2920.3,123.2,6,77,2.1,-6.8,167,3288.9,22.41,5.89,2.08,85.5,31.2,19
3888,3932,2621,3556,2377,2833.8,115.6,6,51.9,1.8,27.7,178.5,3215.3,23.18,11.19,2.54,84.88,27.6,20.2
3951,3888,2558,3701,2336,2833.3,131.3,6,66.5,9.7,21.2,183.3,3251.2,22.4,7.91,2.6,82.13,26,19.1
3803,3951,2576,3518,2337,2772.1,130.7,6,60.7,4.3,9.3,186.4,3169.4,24.59,9.27,3.71,77.88,30.6,19.9
4045,3803,2399,3641,2196,2647.2,127.1,6,198.1,5.3,29.4,215.1,3228.2,19.52,5.83,1.98,89.25,30.6,16.4
3643,4045,2659,3451,2384,2681.2,136.1,6,36.4,5.2,22.3,229.8,3116.9,21.41,8.77,1.76,84.63,31,18.6
3706,3643,2536,3499,2315,2608.6,143.5,6,75.1,1.6,18.7,265.8,3119.3,23.02,12.17,1.54,84.38,22.8,19.7
3823,3706,2539,3610,2325,2651,131.6,6,80.4,3.9,15.5,274.5,3162.9,25.75,22.71,2.24,76.75,25.5,20.9
4252,3823,2600,3824,2339,2736.9,133.3,5.8,160,3.1,44.7,275.4,3359.3,26.44,14.39,2.57,78.13,30,21.9
4838,4252,2840,4185,2488,3188.8,143.4,5.8,136.2,8.8,8.9,250.3,3742.2,21.84,8.59,3.1,81.25,37,18.2
3925,4838,2907,3548,2526,2857.2,123,5,38.7,5.7,-17.7,247,3258.9,23.05,14.86,2.23,80.63,37.1,18
