High,High_day,0,1900,low,Firepower,HydraulicPower,Biomass,Solar power,Wind power,Pomping,Interconnection,Average,Temperature,Soloar,Wind,Humidity,High_temp,Low_temp
4111,4142,2889,3793,2686,3070.6,105.3,1,52.6,10.8,-9.1,228.3,3459.5,10.77,11.79,2.88,52,13.5,2.9
3892,4111,2821,3740,2642,2881.5,102.8,1,121.7,17,41.8,165.6,3331.4,9.76,11.27,1.72,61,18.2,0.8
3780,3892,2523,3596,2406,2784.9,100.4,1,96.9,11.3,-17.3,192.6,3169.8,10.19,10.36,3.93,57.5,17.3,1.8
4030,3780,2723,3923,2572,2887.5,107.1,1,105.2,18.2,18.6,192.8,3330.3,6.45,9.24,1.96,58.38,19.2,-1.3
4186,4030,2970,4015,2739,3156.9,102.6,1,82.5,8.5,48.6,169.5,3569.7,7.36,11.04,2.26,57.25,20.4,-0.7
4125,4186,3034,3986,2799,3081,104.5,1,115.7,7.3,23,196.3,3528.8,9.63,10.35,2.97,57.63,13.8,0.5
3914,4125,2969,3743,2759,3013.5,103.4,1,107.2,16.1,10.1,162.8,3414.2,7.31,11.64,3.69,47.63,15.7,-0.3
4336,3914,2935,4151,2705,3234.5,111.4,6,103.4,7.3,31.1,142.4,3636.1,8.33,7.44,1.68,66.88,13.7,0.4
4172,4336,3063,3951,2817,3247.7,112,6,63.6,8.2,24.4,135.4,3597.2,7.93,5.23,3.69,74,13.3,0.4
4287,4172,2925,4137,2716,3305,122,6,31.2,15.9,38,125.6,3643.8,4.97,11.43,2.62,49.13,15.5,-1.8
4405,4287,3105,4273,2839,3313,118.5,6,102.2,12.2,60.3,110.6,3722.7,3.78,11.17,3.33,49.88,14.6,-2.1
4520,4405,3279,4356,2987,3511.5,121.3,6,108.3,11.8,-35.4,117.4,3841,5.1,10.88,1.9,54.38,11.8,-4.1
4065,4520,2837,3916,2638,3126.3,110.5,5.7,101.3,6.3,12.7,107.2,3469.9,8.52,7.93,1.66,67.63,15.7,-0.9
4054,4065,2944,3908,2741,3175.8,99.7,5.2,75.5,4.7,34.3,112.7,3507.8,9.22,10.36,1.61,70.5,16.7,-1.3
3956,4054,2977,3810,2755,3093.8,99.1,5,106.4,5.8,7.3,114.2,3431.5,11.88,4.62,2.87,80.63,16.3,1.3
3914,3956,2926,3642,2698,3112.3,103,5,42.2,22.8,8.9,121.1,3415.2,13.4,8.54,4.52,59.63,19.2,4.4
4218,3914,2885,4022,2664,3140.7,130.6,5,45.1,2.6,105.5,167.8,3597.3,9.44,3,3.92,76.25,13.8,3.1
3963,4218,2945,3799,2651,3064.5,138.7,5,19.1,16.5,54.8,148.8,3447.4,5.19,11.7,3.94,47.25,17.1,-1.7
3571,3963,2571,3559,2354,2568.2,127.8,5,103.9,10.8,-4.3,173.8,2985.2,5.24,10.49,4.38,45.38,14.7,-1.7
4142,3571,2682,4078,2469,2943.3,131.1,5,110,16.1,21,187.6,3414.1,3.58,11.26,2.29,48.25,15.2,-3.7
4349,4142,3064,4236,2780,3190.8,130.3,5,108.8,11.5,52.1,203,3701.5,3.28,11.42,1.64,57.75,12.5,-4.4
4207,4349,2988,4097,2765,3128.3,130.8,5.2,120.2,15.8,-11.4,220.4,3609.2,5.74,11.44,2.75,47.25,13.9,-1.6
4300,4207,3088,4208,2843,3225.5,127.3,5.5,114,15,8.3,185.9,3681.5,4.74,11.66,2.74,52.75,14.5,-3.5
4356,4300,3237,4265,2963,3274.9,122.9,6,117,13.3,29.7,191.7,3755.5,5.01,8.69,3.25,56.88,13.3,-2.9
4336,4356,3254,4234,2953,3337.5,121.5,5.3,94,13.1,21.1,161,3753.5,1.55,6.02,3.49,52.25,12.1,-3.4
4757,4336,3381,4640,3057,3617.6,117,6,124.8,16.8,-28.5,199.7,4053.3,4.2,11.44,2.28,56,6.7,-3.6
4530,4757,3445,4426,3096,3523,119.6,6,106.1,7.9,-57.7,213.6,3918.5,4.18,12.06,1.92,59,9.6,-4.8
4445,4530,3388,4340,3075,3512.9,118,6,120.9,4.7,-103.9,218.8,3877.5,4.88,9.96,2.6,52.88,11.8,-2
4498,4445,3292,4410,2999,3523.3,120.8,5.5,91.5,12.3,-47.5,173.8,3879.8,2.56,4.29,2.43,68.63,12,-2
4899,4498,3395,4635,3056,3681,155.3,6,18.2,6.3,64.4,251.1,4182.3,5.12,12.16,4.1,55.13,12.4,-1.1
4785,4899,3001,4679,2787,3393,112.7,6,120.6,18.9,85,188.9,3925.1,1.2,12.63,3.13,38.88,13.6,-6
4846,4785,3517,4751,3164,3572.9,115,6,120.4,18.4,23.8,248.2,4104.7,2.13,13.3,2.58,42.5,10.1,-6.5
