high,0,low,1900,Volume,temp,humid,solar,temp_day,year,month,day
3501,2555,2375,3381,2984.416667,15.18,83.25,10.1175,12.42,2016,4,1
3480,2304,2179,3337,2956.208333,10.94,75.125,6.2575,15.18,2016,4,4
3747,2551,2380,3559,3190.5,13.74,60,20.755,10.94,2016,4,5
3392,2634,2440,3319,2996.583333,12.89,87.875,2.36,13.74,2016,4,6
3788,2512,2344,3498,3171.875,15.88,66.75,16.1475,12.89,2016,4,7
3340,2557,2389,3240,2958.666667,11.27,49,22.45,15.88,2016,4,8
3634,2238,2149,3556,2998.916667,9.88,46.125,24.9875,11.27,2016,4,11
3617,2702,2526,3543,3137.25,13.87,70.5,9.21,9.88,2016,4,12
3588,2606,2439,3401,3101.083333,15.6,84.875,12.4225,13.87,2016,4,13
3554,2574,2429,3373,3068.666667,15.92,37.125,26.3925,15.6,2016,4,14
3367,2562,2403,3304,2961.333333,17.9,59.625,15.685,15.92,2016,4,15
3413,2280,2177,3274,2889.416667,15.93,55.125,24.37,17.9,2016,4,18
3351,2443,2311,3235,2911.916667,14.22,55.875,24.615,15.93,2016,4,19
3349,2469,2329,3293,2932.25,15.31,74.875,7.9825,14.22,2016,4,20
3484,2517,2380,3357,3019.458333,17.08,76.5,21.005,15.31,2016,4,21
3434,2528,2389,3257,2985.416667,17.37,56,21.125,17.08,2016,4,22
3375,2252,2163,3272,2889.041667,18.75,64.25,25.045,17.37,2016,4,25
3467,2536,2407,3350,3028.416667,17.13,74.375,10.4675,18.75,2016,4,26
3437,2530,2387,3308,3005.083333,14.49,93.25,4.295,17.13,2016,4,27
3491,2510,2376,3248,3013.833333,17.75,75.125,9.3,14.49,2016,4,28
3433,2226,2123,3237,2898.083333,18.71,86.25,14.73,17.75,2016,5,9
3545,2434,2294,3316,3016.708333,20.17,83.25,7.9825,18.71,2016,5,10
3632,2491,2338,3333,3050.708333,20.71,59.875,29.03,20.17,2016,5,11
3625,2487,2311,3373,3049.791667,20.33,65.875,27.565,20.71,2016,5,12
3663,2497,2336,3353,3074.291667,18.48,71.75,8.645,20.33,2016,5,13
3443,2276,2164,3298,2943.625,17.86,89.25,5.05,18.48,2016,5,16
3603,2483,2338,3301,3055.958333,19.24,52.5,29.8975,17.86,2016,5,17
3524,2475,2307,3290,3009.625,19.09,52.5,26.9575,19.24,2016,5,18
3522,2460,2307,3281,2997.375,16.98,62.75,17.1925,19.09,2016,5,19
3418,2467,2326,3235,2957.333333,22.98,48.375,26.805,16.98,2016,5,20
3882,2247,2141,3496,3104.875,23.14,51.375,22.5675,22.98,2016,5,23
4018,2607,2437,3481,3262,21.88,68.5,8.755,23.14,2016,5,24
3779,2608,2442,3425,3174.666667,22.83,73.875,20.665,21.88,2016,5,25
3847,2559,2402,3462,3192.416667,20.07,82.125,9.81,22.83,2016,5,26
3655,2541,2390,3228,3043.041667,17.54,82.375,9.23,20.07,2016,5,27
3467,2256,2159,3227,2896.5,20.47,77.125,24.11,17.54,2016,5,30
3522,2355,2244,3287,2966.5,21.12,54.75,26.5875,20.47,2016,5,31
3458,2478,2351,3230,2951.041667,19.78,39.375,30.195,21.12,2016,6,1
3399,2398,2277,3217,2929.333333,18.89,50.75,28.7425,19.78,2016,6,2
3407,2402,2292,3185,2925.583333,19.88,72,16.255,18.89,2016,6,3
3512,2189,2092,3229,2903.25,19.55,80.5,6.7575,19.88,2016,6,6
3502,2444,2316,3298,3002.958333,22,71.875,22.03,19.55,2016,6,7
3613,2465,2335,3347,3064.125,21.67,86.375,9.16,22,2016,6,8
3642,2492,2362,3430,3106.458333,23.88,67,25.93,21.67,2016,6,9
3801,2527,2373,3379,3151.833333,20.02,90.25,5.82,23.88,2016,6,10
3639,2347,2224,3287,3014.583333,22.18,72,19.775,20.02,2016,6,13
3663,2454,2298,3385,3073.291667,20.45,81.625,10.01,22.18,2016,6,14
3570,2476,2320,3311,3035.875,21.36,85.625,5.975,20.45,2016,6,15
3681,2501,2331,3375,3093.75,24.24,75,23.2025,21.36,2016,6,16
3974,2513,2327,3627,3245.833333,24.33,76.125,22.6025,24.24,2016,6,17
4158,2376,2245,3850,3319.333333,22.95,80.75,10.42,24.33,2016,6,20
3932,2721,2445,3666,3288.875,22.41,85.5,5.885,22.95,2016,6,21
3888,2621,2377,3556,3215.333333,23.18,84.875,11.1925,22.41,2016,6,22
3951,2558,2336,3701,3251.208333,22.4,82.125,7.91,23.18,2016,6,23
3803,2576,2337,3518,3169.375,23.98,64.75,25.315,22.4,2016,6,24
4045,2399,2196,3641,3228.166667,19.52,89.25,5.825,23.98,2016,6,27
3643,2659,2384,3451,3116.916667,21.41,84.625,8.7675,19.52,2016,6,28
3706,2536,2315,3499,3119.291667,23.02,84.375,12.1675,21.41,2016,6,29
3823,2539,2325,3610,3162.875,25.75,76.75,22.7075,23.02,2016,6,30
4252,2600,2339,3824,3359.25,27.31,73,19.575,25.75,2016,7,1
4838,2840,2488,4185,3742.166667,21.84,81.25,8.5925,27.31,2016,7,4
3925,2907,2526,3548,3258.875,23.05,80.625,14.8625,21.84,2016,7,5
3955,2578,2356,3795,3255.208333,26.75,72.125,25.9825,23.05,2016,7,6
4814,2748,2455,4040,3668.791667,24.72,79,11.4525,26.75,2016,7,7
4219,2802,2482,3869,3443.291667,27.36,67.625,27.24,24.72,2016,7,8
4707,2620,2353,4189,3648.5,26.6,73.5,22.74,27.36,2016,7,11
4604,2892,2523,4156,3668.458333,25.28,87.375,6.3775,26.6,2016,7,12
4317,2922,2574,4053,3578.583333,26.2,81.125,18.7375,25.28,2016,7,13
4773,2895,2586,4011,3703.958333,22.89,86,8.5225,26.2,2016,7,14
4058,2793,2462,3552,3308.958333,27.64,70.5,22.4125,22.89,2016,7,15
4735,2835,2495,4342,3748.666667,26.02,74.625,21.5525,27.64,2016,7,19
4467,2985,2585,4063,3611.833333,22.61,86,7.43,26.02,2016,7,20
3948,2802,2471,3649,3285.25,21.61,82.75,7.89,22.61,2016,7,21
3735,2631,2393,3443,3131.583333,24.67,72.875,14.635,21.61,2016,7,22
3972,2359,2165,3729,3202.708333,23.22,84.75,4.645,24.67,2016,7,25
3986,2638,2362,3576,3243.458333,24.12,83.125,12.0025,23.22,2016,7,26
3950,2579,2358,3627,3249,26.31,76.375,16.145,24.12,2016,7,27
4347,2652,2379,4035,3475.333333,27.13,70.125,21.6425,26.31,2016,7,28
4518,2779,2425,4050,3583.833333,27.13,78.625,18.0175,27.13,2016,7,29
4595,2689,2374,4236,3643.083333,26.18,85,13.61,27.13,2016,8,1
4531,2924,2524,4158,3658.041667,26.67,81,19.225,26.18,2016,8,2
4687,2888,2537,4225,3699.375,27.94,76.125,22.735,26.67,2016,8,3
4860,2936,2549,4410,3846.333333,28.62,72.875,23.2225,27.94,2016,8,4
5033,3031,2604,4455,3933.5,28.76,63,20.38,28.62,2016,8,5
4829,2838,2461,4436,3790.291667,30.75,55.125,23.345,28.76,2016,8,8
5332,3091,2671,4776,4133.208333,28.53,64.125,21.7,30.75,2016,8,9
4952,3302,2729,4297,3929,28.72,75,20.495,28.53,2016,8,10
4626,2628,2303,4230,3607.5,26.8,85.125,11.3325,28.72,2016,8,17
4476,2964,2519,4021,3585.875,27.77,76.375,18.0775,26.8,2016,8,18
4484,2860,2489,4115,3622.208333,25.45,90.375,2.11667,27.77,2016,8,19
4393,2858,2469,3827,3502.875,26.24,83.75,14.78,25.45,2016,8,22
4595,2835,2512,4140,3642.875,26.06,82.875,13.15,26.24,2016,8,23
4445,2860,2519,4167,3625.625,27.79,75.375,22.2667,26.06,2016,8,24
4809,2928,2545,4370,3817.375,27.99,73.5,22.9033,27.79,2016,8,25
4857,2981,2572,4360,3846.791667,25.85,83.5,14.4567,27.99,2016,8,26
4277,2436,2247,4009,3404.708333,24.91,81.25,9.45,25.85,2016,8,29
4161,2862,2539,3704,3403.708333,25.97,64.25,23.4667,24.91,2016,8,30
4293,2608,2354,3857,3406.041667,26.16,67.625,22.16,25.97,2016,8,31
4468,2710,2398,4076,3533.833333,26.44,71.5,19.3933,26.16,2016,9,1
4481,2844,2475,4056,3591.041667,27.71,75.5,18.8567,26.44,2016,9,2
4746,2681,2399,4336,3750.083333,28.39,74.625,18.3967,27.71,2016,9,5
4857,3040,2669,4439,3903.666667,26.78,82.25,14.5833,28.39,2016,9,6
4612,3088,2675,4217,3749.166667,25.57,90,6.53667,26.78,2016,9,7
4466,2953,2594,4067,3654.25,26.43,74.375,18.3867,25.57,2016,9,8
4551,2906,2559,4128,3667.541667,24.41,78.5,11.35,26.43,2016,9,9
4043,2425,2245,3738,3283.166667,22.69,91.5,3.88,24.41,2016,9,12
3905,2673,2415,3657,3283.083333,23.24,86.125,8.82667,22.69,2016,9,13
3846,2622,2366,3679,3241.25,24.3,82.625,8.7,23.24,2016,9,14
4030,2761,2502,3758,3390.583333,23.13,84.5,6.22,24.3,2016,9,15
3851,2749,2491,3595,3269.041667,19.28,95.25,3.52,23.13,2016,9,16
3664,2519,2333,3442,3108.958333,20.31,81,9.22,19.28,2016,9,20
3572,2532,2352,3393,3052.916667,21.18,94.5,4.12667,20.31,2016,9,21
3693,2519,2352,3478,3137,24.77,82.5,11.8433,21.18,2016,9,23
4100,2486,2276,3838,3334.583333,25.37,83.5,13.7,24.77,2016,9,26
4329,2783,2505,4021,3503.958333,25.52,85.875,6.82667,25.37,2016,9,27
4368,2891,2569,4012,3568.25,24.1,81.375,6.07667,25.52,2016,9,28
4143,2870,2586,3683,3425.958333,20.85,63.625,13.4467,24.1,2016,9,29
3577,2669,2413,3369,3081.25,22.3,91.5,3.30667,20.85,2016,9,30
